annee,population_projetee
2024,18501984.0
2025,18958877.07208105
2026,19427052.78711086
2027,19906789.761771727
2028,20398373.492982797
2029,20902096.5278025
2030,21418258.637526646
2031,21947166.996085707
2032,22489136.362847533
2033,23044489.269934203
2034,23613556.214164563
2035,24196675.853736635
