region,region_geo,code,indicateur,valeur
Saint Louis,Saint Louis,RH_DELP_C_DHF,Accouchements en établissement de santé (%),85.3
Saint Louis,Saint Louis,RH_DELP_C_DHF,Accouchements en établissement de santé (%),85.9
Louga,Louga,RH_DELP_C_DHF,Accouchements en établissement de santé (%),94.4
Louga,Louga,RH_DELP_C_DHF,Accouchements en établissement de santé (%),93.8
Matam,Matam,RH_DELP_C_DHF,Accouchements en établissement de santé (%),80.3
Matam,Matam,RH_DELP_C_DHF,Accouchements en établissement de santé (%),81.7
Dakar,Dakar,RH_DELP_C_DHF,Accouchements en établissement de santé (%),98.5
Dakar,Dakar,RH_DELP_C_DHF,Accouchements en établissement de santé (%),98.9
Thiès,Thies,RH_DELP_C_DHF,Accouchements en établissement de santé (%),96.9
Thiès,Thies,RH_DELP_C_DHF,Accouchements en établissement de santé (%),97.3
Diourbel,Diourbel,RH_DELP_C_DHF,Accouchements en établissement de santé (%),93.9
Diourbel,Diourbel,RH_DELP_C_DHF,Accouchements en établissement de santé (%),94.2
Fatick,Fatick,RH_DELP_C_DHF,Accouchements en établissement de santé (%),92.4
Fatick,Fatick,RH_DELP_C_DHF,Accouchements en établissement de santé (%),91.5
Kaffrine,Kaffrine,RH_DELP_C_DHF,Accouchements en établissement de santé (%),84.3
Kaffrine,Kaffrine,RH_DELP_C_DHF,Accouchements en établissement de santé (%),85.4
Kaolack,Kaolack,RH_DELP_C_DHF,Accouchements en établissement de santé (%),93.4
Kaolack,Kaolack,RH_DELP_C_DHF,Accouchements en établissement de santé (%),93.1
Ziguinchor,Ziguinchor,RH_DELP_C_DHF,Accouchements en établissement de santé (%),97.1
Ziguinchor,Ziguinchor,RH_DELP_C_DHF,Accouchements en établissement de santé (%),96.3
Sédhiou,Sedhiou,RH_DELP_C_DHF,Accouchements en établissement de santé (%),81.4
Sédhiou,Sedhiou,RH_DELP_C_DHF,Accouchements en établissement de santé (%),81.6
Kolda,Kolda,RH_DELP_C_DHF,Accouchements en établissement de santé (%),88.5
Kolda,Kolda,RH_DELP_C_DHF,Accouchements en établissement de santé (%),88.5
Kédougou,Kedougou,RH_DELP_C_DHF,Accouchements en établissement de santé (%),85.9
Kédougou,Kedougou,RH_DELP_C_DHF,Accouchements en établissement de santé (%),87.6
Tambacounda,Tambacounda,RH_DELP_C_DHF,Accouchements en établissement de santé (%),83.8
Tambacounda,Tambacounda,RH_DELP_C_DHF,Accouchements en établissement de santé (%),85.6
