code,indicateur,annee,valeur
SI.POV.NAHC,Taux de pauvreté national (%),2021,37.5
SP.DYN.LE00.IN,Espérance de vie (ans),1960,39.668
SP.DYN.LE00.IN,Espérance de vie (ans),1961,39.715
SP.DYN.LE00.IN,Espérance de vie (ans),1962,39.738
SP.DYN.LE00.IN,Espérance de vie (ans),1963,39.745
SP.DYN.LE00.IN,Espérance de vie (ans),1964,39.755
SP.DYN.LE00.IN,Espérance de vie (ans),1965,39.761
SP.DYN.LE00.IN,Espérance de vie (ans),1966,39.848
SP.DYN.LE00.IN,Espérance de vie (ans),1967,39.992
SP.DYN.LE00.IN,Espérance de vie (ans),1968,40.15
SP.DYN.LE00.IN,Espérance de vie (ans),1969,40.398
SP.DYN.LE00.IN,Espérance de vie (ans),1970,40.789
SP.DYN.LE00.IN,Espérance de vie (ans),1971,41.243
SP.DYN.LE00.IN,Espérance de vie (ans),1972,41.77
SP.DYN.LE00.IN,Espérance de vie (ans),1973,42.429
SP.DYN.LE00.IN,Espérance de vie (ans),1974,43.104
SP.DYN.LE00.IN,Espérance de vie (ans),1975,43.938
SP.DYN.LE00.IN,Espérance de vie (ans),1976,44.809
SP.DYN.LE00.IN,Espérance de vie (ans),1977,45.714
SP.DYN.LE00.IN,Espérance de vie (ans),1978,46.596
SP.DYN.LE00.IN,Espérance de vie (ans),1979,47.478
SP.DYN.LE00.IN,Espérance de vie (ans),1980,48.294
SP.DYN.LE00.IN,Espérance de vie (ans),1981,49.083
SP.DYN.LE00.IN,Espérance de vie (ans),1982,49.863
SP.DYN.LE00.IN,Espérance de vie (ans),1983,50.811
SP.DYN.LE00.IN,Espérance de vie (ans),1984,51.694
SP.DYN.LE00.IN,Espérance de vie (ans),1985,52.586
SP.DYN.LE00.IN,Espérance de vie (ans),1986,53.718
SP.DYN.LE00.IN,Espérance de vie (ans),1987,54.632
SP.DYN.LE00.IN,Espérance de vie (ans),1988,55.546
SP.DYN.LE00.IN,Espérance de vie (ans),1989,56.209
SP.DYN.LE00.IN,Espérance de vie (ans),1990,56.674
SP.DYN.LE00.IN,Espérance de vie (ans),1991,57.037
SP.DYN.LE00.IN,Espérance de vie (ans),1992,57.287
SP.DYN.LE00.IN,Espérance de vie (ans),1993,57.348
SP.DYN.LE00.IN,Espérance de vie (ans),1994,57.479
SP.DYN.LE00.IN,Espérance de vie (ans),1995,57.336
SP.DYN.LE00.IN,Espérance de vie (ans),1996,57.129
SP.DYN.LE00.IN,Espérance de vie (ans),1997,57.107
SP.DYN.LE00.IN,Espérance de vie (ans),1998,57.076
SP.DYN.LE00.IN,Espérance de vie (ans),1999,57.315
SP.DYN.LE00.IN,Espérance de vie (ans),2000,57.615
SP.DYN.LE00.IN,Espérance de vie (ans),2001,58.158
SP.DYN.LE00.IN,Espérance de vie (ans),2002,58.912
SP.DYN.LE00.IN,Espérance de vie (ans),2003,59.474
SP.DYN.LE00.IN,Espérance de vie (ans),2004,60.308
SP.DYN.LE00.IN,Espérance de vie (ans),2005,60.98
SP.DYN.LE00.IN,Espérance de vie (ans),2006,61.801
SP.DYN.LE00.IN,Espérance de vie (ans),2007,62.653
SP.DYN.LE00.IN,Espérance de vie (ans),2008,63.201
SP.DYN.LE00.IN,Espérance de vie (ans),2009,63.751
SP.DYN.LE00.IN,Espérance de vie (ans),2010,64.221
SP.DYN.LE00.IN,Espérance de vie (ans),2011,64.799
SP.DYN.LE00.IN,Espérance de vie (ans),2012,65.229
SP.DYN.LE00.IN,Espérance de vie (ans),2013,65.638
SP.DYN.LE00.IN,Espérance de vie (ans),2014,66.001
SP.DYN.LE00.IN,Espérance de vie (ans),2015,66.451
SP.DYN.LE00.IN,Espérance de vie (ans),2016,66.724
SP.DYN.LE00.IN,Espérance de vie (ans),2017,67.059
SP.DYN.LE00.IN,Espérance de vie (ans),2018,67.379
SP.DYN.LE00.IN,Espérance de vie (ans),2019,67.668
SP.DYN.LE00.IN,Espérance de vie (ans),2020,67.496
SP.DYN.LE00.IN,Espérance de vie (ans),2021,66.868
SP.DYN.LE00.IN,Espérance de vie (ans),2022,67.788
SP.DYN.LE00.IN,Espérance de vie (ans),2023,68.683
SP.DYN.LE00.IN,Espérance de vie (ans),2024,68.924
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1960,44.1649528107188
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1961,44.2555745516715
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1962,44.2917922141044
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1963,44.3211561228771
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1964,44.3473802079943
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1965,44.3485329581785
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1966,44.3249361362501
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1967,44.2888608109465
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1968,44.2482538984632
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1969,44.2138227603929
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1970,44.1931430241065
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1971,44.1913211689872
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1972,44.2152441022134
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1973,44.2693775593348
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1974,44.3728095212247
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1975,44.5565491673451
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1976,44.8280876738123
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1977,45.1957138358346
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1978,45.611592758854
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1979,46.0027009091611
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1980,46.3521860231509
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1981,46.6537122026332
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1982,46.9024166305422
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1983,47.0998753420031
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1984,47.2448571310098
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1985,47.3156358028344
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1986,47.2925806665473
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1987,47.1968171287266
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1988,47.0466490836694
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1989,46.8508231544946
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1990,46.6252933900981
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1991,46.3648695689395
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1992,46.0696807634792
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1993,45.7573600237009
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1994,45.4456522772637
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1995,45.1481679515186
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1996,44.8691156757892
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1997,44.6123846676279
SP.POP.0014.TO.ZS,Part des 0-14 ans (%),1998,44.3735851764799
