region_geo,code,valeur
Ziguinchor,WS_SRCE_H_IMP,71.3
Sedhiou,WS_SRCE_H_IMP,45.0
Kolda,WS_SRCE_H_IMP,41.6
Kedougou,WS_SRCE_H_IMP,85.8
Tambacounda,WS_SRCE_H_IMP,79.4
Saint Louis,HC_ELEC_H_ELC,64.9
Louga,HC_ELEC_H_ELC,68.5
Matam,HC_ELEC_H_ELC,51.8
Dakar,HC_ELEC_H_ELC,98.2
Thies,HC_ELEC_H_ELC,92.2
Diourbel,HC_ELEC_H_ELC,87.0
Fatick,HC_ELEC_H_ELC,55.7
Kaffrine,HC_ELEC_H_ELC,47.4
Kaolack,HC_ELEC_H_ELC,74.7
Ziguinchor,HC_ELEC_H_ELC,66.6
Sedhiou,HC_ELEC_H_ELC,45.6
Kolda,HC_ELEC_H_ELC,39.6
Kedougou,HC_ELEC_H_ELC,42.1
Tambacounda,HC_ELEC_H_ELC,45.4
