annee,code,valeur,source
1997,FE_FRTR_W_TFR,5.7,EDS/DHS
2005,FE_FRTR_W_TFR,5.3,EDS/DHS
2006,FE_FRTR_W_TFR,4.9,EDS/DHS
2008,FE_FRTR_W_TFR,4.9,EDS/DHS
2010,FE_FRTR_W_TFR,5.0,EDS/DHS
2012,FE_FRTR_W_TFR,5.3,EDS/DHS
2014,FE_FRTR_W_TFR,5.0,EDS/DHS
2015,FE_FRTR_W_TFR,4.9,EDS/DHS
2016,FE_FRTR_W_TFR,4.7,EDS/DHS
2017,FE_FRTR_W_TFR,4.6,EDS/DHS
2018,FE_FRTR_W_TFR,4.4,EDS/DHS
2019,FE_FRTR_W_TFR,4.7,EDS/DHS
2020,FE_FRTR_W_TFR,3.9,EDS/DHS
2023,FE_FRTR_W_TFR,4.0,EDS/DHS
1986,FP_CUSM_W_MOD,2.4,EDS/DHS
1993,FP_CUSM_W_MOD,4.8,EDS/DHS
1997,FP_CUSM_W_MOD,8.1,EDS/DHS
2005,FP_CUSM_W_MOD,10.3,EDS/DHS
2010,FP_CUSM_W_MOD,12.1,EDS/DHS
2012,FP_CUSM_W_MOD,16.1,EDS/DHS
2014,FP_CUSM_W_MOD,20.3,EDS/DHS
2015,FP_CUSM_W_MOD,21.2,EDS/DHS
2016,FP_CUSM_W_MOD,23.1,EDS/DHS
2017,FP_CUSM_W_MOD,26.3,EDS/DHS
2018,FP_CUSM_W_MOD,25.4,EDS/DHS
2019,FP_CUSM_W_MOD,25.5,EDS/DHS
2023,FP_CUSM_W_MOD,25.6,EDS/DHS
1993,HC_ELEC_H_ELC,26.0,EDS/DHS
1997,HC_ELEC_H_ELC,32.2,EDS/DHS
2005,HC_ELEC_H_ELC,47.1,EDS/DHS
2006,HC_ELEC_H_ELC,49.9,EDS/DHS
2008,HC_ELEC_H_ELC,53.5,EDS/DHS
2010,HC_ELEC_H_ELC,56.5,EDS/DHS
2012,HC_ELEC_H_ELC,57.0,EDS/DHS
2014,HC_ELEC_H_ELC,61.0,EDS/DHS
2015,HC_ELEC_H_ELC,60.5,EDS/DHS
2016,HC_ELEC_H_ELC,64.5,EDS/DHS
2017,HC_ELEC_H_ELC,63.3,EDS/DHS
2018,HC_ELEC_H_ELC,67.5,EDS/DHS
2019,HC_ELEC_H_ELC,70.3,EDS/DHS
2020,HC_ELEC_H_ELC,67.3,EDS/DHS
2023,HC_ELEC_H_ELC,77.0,EDS/DHS
1993,RH_DELP_C_DHF,47.5,EDS/DHS
1993,RH_DELP_C_DHF,46.9,EDS/DHS
1993,RH_DELP_C_DHF,47.0,EDS/DHS
1997,RH_DELP_C_DHF,48.4,EDS/DHS
1997,RH_DELP_C_DHF,48.0,EDS/DHS
1997,RH_DELP_C_DHF,48.6,EDS/DHS
2005,RH_DELP_C_DHF,63.6,EDS/DHS
2005,RH_DELP_C_DHF,61.8,EDS/DHS
2005,RH_DELP_C_DHF,63.1,EDS/DHS
2010,RH_DELP_C_DHF,72.9,EDS/DHS
2010,RH_DELP_C_DHF,72.8,EDS/DHS
2010,RH_DELP_C_DHF,72.9,EDS/DHS
2012,RH_DELP_C_DHF,72.4,EDS/DHS
2012,RH_DELP_C_DHF,71.3,EDS/DHS
